visit Date Time Power PDensity
04 2016-05-19 20:05:39 68.66432431517542 5.426985015831493e-07
04 2016-05-19 20:07:19 63.180213986475906 4.993540357694206e-07
04 2016-05-19 20:07:19 63.180213986475906 4.993540357694206e-07
04 2016-05-19 20:07:19 63.180213986475906 4.993540357694206e-07
04 2016-05-19 20:07:19 63.180213986475906 4.993540357694206e-07
04 2016-05-19 20:07:19 63.180213986475906 4.993540357694206e-07
04 2016-05-19 20:07:19 63.180213986475906 4.993540357694206e-07
01 2016-05-16 23:43:30 -inf -inf 
02 2016-05-17 18:48:16 414.133824586849 5.422689755839181e-07 
05 2016-05-18 23:25:26 -27716.15614817914 -0.00014007747639280631 
04 2016-05-19 20:05:39 194.85255893940965 4.913079948237773e-07 
01 2016-05-16 23:43:30 -inf -inf 
02 2016-05-17 18:48:16 421.4804454314657 5.352333135322728e-07 
05 2016-05-18 23:25:26 -31206.034492665967 -0.0001499990562112386 
04 2016-05-19 20:05:39 261.47189385136664 4.54169520957835e-07 
08 2016-05-21 21:23:07 301.24074467896156 3.326451703074903e-07 
09 2016-05-22 18:02:46 286.1387159008103 3.404493442455434e-07 
10 2016-05-23 22:41:42 -240.91240045753662 -1.319248134345424e-06 
13 2016-05-24 17:45:21 0.0 0.0 
15 2016-05-24 20:56:09 -23648165688.296173 -24.876855864761236 
11 2016-05-25 16:00:57 -inf -inf 
12 2016-05-26 22:13:29 -inf -inf 
16 2016-05-27 17:18:13 106.54580377686474 1.7561339321226097e-07 
18 2016-05-29 18:35:18 391.63922859365226 6.571913333477188e-07 
19 2016-05-30 13:39:57 107.89301728940562 6.575250776937031e-07 
20 2016-05-31 19:52:15 266.72521536304225 6.772478443728834e-07 
21 2016-06-01 14:57:08 14.436690375316083 6.90137444530425e-08 
23 2016-06-01 18:07:35 0.239648736258653 4.269132146537342e-10 
24 2016-06-02 11:36:46 228.4171828087018 3.68058578601029e-07 
29 2016-06-07 15:36:30 0.0 0.0 
01 2016-05-16 23:43:30 -inf -inf 
01 2016-05-16 23:43:30 -inf -inf 
02 2016-05-17 18:48:16 318.84924731020254 5.95089747853663e-07 
05 2016-05-18 23:25:26 -27715.651779310323 -0.0001392007766526115 
04 2016-05-19 20:05:39 168.82063512577943 4.7126080201927926e-07 
08 2016-05-21 21:23:07 203.77137754021268 3.047268231293519e-07 
09 2016-05-22 18:02:46 247.52475985322803 3.4315941199536106e-07 
10 2016-05-23 22:41:42 -935.0078232904762 -4.401112135593293e-06 
13 2016-05-24 17:45:21 0.0 0.0 
15 2016-05-24 20:56:09 -20468869638.309822 -27.30549468719453 
11 2016-05-25 16:00:57 -inf -inf 
12 2016-05-26 22:13:29 -inf -inf 
16 2016-05-27 17:18:13 132.62059470189766 1.7563370798251477e-07 
18 2016-05-29 18:35:18 365.786698216059 6.727270738485476e-07 
